"ac_type"|"cn_ln"|"crew_aboard"|"crew_fatalities"|"date"|"flight_no"|"ground"|"location"|"operator"|"passengers_aboard"|"passengers_fatalities"|"registration"|"route"|"summary"|"time"|"total_aboard"
"Swearingen SA26AT"|"?"|"2"|"2"|"October 16, 1971"|"?"|"0"|"Hot Springs, Virginia"|"Alpena Flying Service - Air Taxi"|"4"|"4"|"N20DE"|"Detroit, MI - Hot Springs, VA"|"The pilot descended below minima on a third attempt at landing with no glideslope approach and hit the ground 150 feet short and right of the runway. Improper IFR operation."|"13:17"|"6"
"Douglas C-47A"|"19348"|"4"|"4"|"October 17, 1971"|"?"|"0"|"San Vicente del Caguan, Colombia"|"Aerolineas TAO"|"17"|"15"|"HK- 595"|"?"|"The aircraft crashed and burned short of the runway. A girl, 6, and a boy 3, were the only survivors."|"?"|"21"
"Beech E18S"|"BA-211"|"2"|"2"|"October 21, 1971"|"?"|"0"|"Peoria, Illinois"|"Chicago and Southern Airlines"|"14"|"14"|"N51CS"|"Chicago, IL - Peoria, IL"|"Collided with wires/poles while attempting to land. Improper IFR operation. Descended below MDA."|"11:20"|"16"
"Douglas C-47"|"?"|"?"|"?"|"October 23, 1971"|"?"|"0"|"Near Qui Nhon, South Vietnam"|"Military - Vietnamese Air Force"|"?"|"?"|"?"|"?"|"Crashed after flying during a typhoon."|"?"|"31"
"Beechcraft B99"|"U-44"|"2"|"2"|"October 24, 1971"|"?"|"0"|"Bath, Pennsylvania"|"Monmouth Airways"|"6"|"2"|"N986MA"|"Jamaica, NY - Allentown, PA"|"Collided with trees while attempting to land. Improper IFR operation. Descended below MDA. Pilot fatigue."|"22:15"|"8"
"Lockheed C-130K Hercules"|"4243"|"6"|"6"|"November 09, 1971"|"?"|"0"|"Off Livorno, Italy"|"Military - Royal Air Force"|"46"|"46"|"XV216"|"San Giusto - Sardinia"|"The plane, carrying paratroopers, crashed into the Ligurian Sea about 20 miles west of Pisa shortly after taking off from San Giusto Airport. In-flight structural failure. Cause undetermined."|"c 05:40"|"52"
"Vickers Viscount 828"|"448"|"7"|"7"|"November 10, 1971"|"?"|"0"|"Off Padang, Indonesia"|"Merpati Nusantara Airlines"|"62"|"62"|"PK-MVS"|"Jakarta - Padang"|"The plane crashed into the sea while on approach to Padang."|"?"|"69"
"Antonov AN-24"|"67302306"|"5"|"5"|"November 12, 1971"|"H-63"|"0"|"Vinnitsa, Russia"|"Aeroflot"|"43"|"43"|"CCCP-46809"|"Kiev - Vinnitsa"|"The plane crashed  on a a go-around 850 m short of the runway."|"?"|"48"
"Sud Aviation SE-210 Caravelle III"|"122"|"8"|"8"|"November 21, 1971"|"?"|"0"|"Near Penghu Island, Taiwan"|"China Airlines (Taiwan)"|"17"|"17"|"B-1852"|"Taipei - Hong Kong"|"The plane crashed into the sea while on a flight from Taipei to Hong Kong.  Detonation of an explosive device."|"?"|"25"
"Boeing Vertol CH-47C"|"?"|"5"|"5"|"November 28, 1971"|"?"|"0"|"Near Hue, South Vietnam"|"Military - U.S. Army"|"29"|"29"|"68-15866"|"Da Nang - Camp Eagle"|"Crashed into a mountain after attempting to fly through a lowland area due to deteriorating weather conditions."|"13:30"|"34"
"Antonov AN-24"|"57301801"|"4"|"4"|"December 01, 1971"|"2174"|"0"|"Saratov, Russia"|"Aeroflot"|"53"|"53"|"CCCP-46788"|"Ufa - Saratov"|"During approach the plane made a large roll and vertical rate of descent and crashed. Icing."|"21:48"|"57"
"Douglas DC-9-31 /Cessna 206"|"47166/265 / ?"|"5"|"1"|"December 04, 1971"|"?"|"0"|"Raleigh, North Carolina"|"Eastern Air Lines"|"24"|"1"|"N8943E / N2110F"|"Miami, FL - Raleigh, NC"|"Midair collision.  The DC-9 descended onto the Cessna. Two killed aboard the Cessna. The DC-9 landed with no one aboard injured. Inadequacy of ATC facilities and services in the terminal area."|"13:46"|"29"
"Fokker F-27 Friendship 200"|"10238"|"5"|"1"|"December 06, 1971"|"?"|"0"|"Tikaka, Sudan"|"Sudan Airways"|"37"|"9"|"ST-AAY"|"?"|"The aircraft experienced a forced landing after being hijacked and running out of fuel.      "|"?"|"42"
"HAL-748-224 Srs.2"|"512"|"4"|"4"|"December 09, 1971"|"?"|"0"|"Chinnamanur, India"|"Indian Airlines"|"27"|"17"|"VT-DXG"|"Trivandrum - Madurai"|"Strayed off course and flew into a mountain."|"c 07:00"|"31"
"Ilyushin IL-18B"|"185008104"|"11"|"2"|"December 21, 1971"|"?"|"0"|"Sofia, Bulgaria"|"Balkan Bulgarian Airlines"|"62"|"26"|"LZ-BES"|"Sofia IAP - Algiers"|"Crashed in adverse weather conditions shortly after taking off."|"?"|"73"
"Lockheed 188A Electra"|"1086"|"6"|"6"|"December 24, 1971"|"508"|"0"|"Near Puerto Inca, Huanuco, Peru"|"Lineas Aereas Nacionales SA (Peru)"|"86"|"85"|"OB-R-941"|"Lima - Pucallpa"|"The aircraft was struck by lightning after it entered an area of thunderstorms and heavy turbulence. The lightning caused a fire which led to the separation of the right wing and part of the left wing. The aircraft crashed in mountainous terrain in the jungle. One German passenger, a female teenager, survived and was found after trekking through the jungle for 9 days. Juliane Koepcke had a broken collarbone and was unconscious for an unknown amount of time but had survived the crash still strapped in her seat. She fell more than two miles into the jungle canopy but miraculously survived with only minor injuries. When she came to, she set out in vain to find her mother. Maria Koepcke, her mother, a leading Peruvian ornithologist, was dead. Rescue crews searched for the aircraft without success. Koepcke would have to save herself.  Koepcke found a stream and began nine days of wading through knee-high water and fighting off swarms of insects and leeches. On the ninth day, she found a canoe and shelter. Then she waited. Hours later, local lumbermen returned and found her. They tried to get her to eat but she was quite sick and refused. Insects had buried eggs in her skin and they were beginning to hatch. One of the men poured gasoline on her and, as she told the London Daily Mail, ""I counted 35 worms that came out of my arms alone."" The men offered what assistance they could provide but it was too late in the day to start the journey back to civilization; she slept one more night in the jungle before the men took her on the final seven hour journey via canoe down the river to a lumber station where she was airlifted to a hospital."|"12:36"|"92"
"Hawker Siddeley HS-748-230 Srs. 2A"|"1598"|"5"|"5"|"January 06, 1972"|"?"|"0"|"Near Chetumal, Mexico"|"SAESA"|"18"|"18"|"XA-SEV"|"Chetumel - Merida"|"The aircraft crashed following a fire onboard while en route."|"?"|"23"
"Sud-Aviation Caravelle VI-R"|"163"|"6"|"6"|"January 07, 1972"|"602"|"0"|"Sierra de Atalayasa, Spain"|"Iberia Airlines"|"98"|"98"|"EC-ATV"|"Valencia - Ibiza"|"The aircraft crashed into hill while attempting to land. Failure to maintain the minimum flight altitude during the final stages of the visual approach."|"c 22:00"|"104"
"Piper PA-23"|"?"|"1"|"1"|"January 18, 1972"|"?"|"0"|"Chambers, Nebraska"|"Kime Flying Service - Air Taxi"|"2"|"2"|"N4897P"|"Omaha, NE - Hot Springs, SD"|"The pilot feathered the right engine for undetermined reasons, failed to maintain safe altitude and crashed into a telephone pole and wires."|"01:04"|"3"
"Mc Donnell Douglas DC-9-32"|"47213/358"|"3"|"1"|"January 21, 1972"|"?"|"0"|"Near Adana, Turkey"|"Turkish Airlines (THY)"|"5"|"0"|"TC-JAC"|"Damascus - Ankara"|"After diverting to Adana because of pressurization problems, the aircraft hit the ground downwind on the second approach and caught fire."|"?"|"8"
"Douglas C-47"|"?"|"3"|"3"|"January 21, 1972"|"?"|"0"|"Near Betania, Colombia"|"SATENA"|"36"|"36"|"FAC-661"|"Medellin - Buenaventura"|"The aircraft struck a mountain in rain and thunderstorms operating as a non-scheduled passenger airliner run by the military."|"10:30"|"39"
"Vickers Viscount 837"|"442"|"5"|"5"|"January 21, 1972"|"?"|"0"|"Near Funza, Colombia"|"Lineas Aéreas la Urraca"|"15"|"15"|"HK-1347"|"Bogota - San Andres"|"Crashed shortly after leaving Bogota after an explosion aboard."|"?"|"20"
"McDonnell Douglas DC-9-32"|"47482/592"|"5"|"4"|"January 26, 1972"|"JU 367"|"0"|"Near Srbská Kamenice, Czech Republic"|"JAT Yugoslav Airlines"|"23"|"23"|"YU-AHT"|"Stockholm - Belgrade"|"The plane crashed after the detonation of a bomb in the forward cargo hold. A flight attendant,  22 year old Vesna Vulovic, fell 33,330 feet in the tail section and although she broke both legs and was temporarily paralyzed from the waist down, she survived. She was in a coma for 27 days and it took 16 months for her to recover. The bomb was believed to be placed on the plane by a Croatian extremist group. On January 27, 1997, 25 years after the crash, Vesna Vulovic returned to the crash-site and was reunited with the firemen who pulled her from the wreckage and the medical team who looked after her in the hospital."|"16:10"|"28"
"Douglas DC-6"|"43126/132"|"3"|"1"|"February 01, 1972"|"?"|"0"|"Near Tegal, Indonesia"|"Royal Air Laos/PENAS"|"6"|"5"|"XW-PEH"|"?"|"Due to a compass error the aircraft became lost and crashed during a forced landing due to fuel starvation."|"?"|"9"
"de Havilland Canada C-7A Caribou"|"51"|"4"|"1"|"February 04, 1972"|"?"|"0"|"Pha Khao, Laos"|"Air America"|"34"|"0"|"393"|"Ban Xon - Pha Khao"|"Crashed while attempting to land. Overloaded"|"?"|"38"
"Beechcraft S35"|"?"|"1"|"1"|"February 04, 1972"|"?"|"0"|"BattleMountain, Nevada"|"Clarkes Thunder - Air Taxi"|"1"|"1"|"N8933U"|"Gallup, NM - Battle Mountain, NV"|"Pilot flying too high and suffered hypoxia. Pilot had emphysema and advanced arteriosclerosis. No oxygen aboard the aircraft."|"19:00"|"2"
"Fairchild F-27"|"0075"|"4"|"4"|"February 05, 1972"|"772"|"0"|"Near Valledupar, Colombia"|"TAC Colombia"|"15"|"15"|"HK-1139"|"Bogota - Valledupar"|"Disappeared while en route. Wreckage found 3 days later."|"?"|"19"
"Douglas DC-4"|"43126"|"6"|"6"|"February 11, 1972"|"?"|"0"|"Near Vientiane, Laos"|"Royal Air Lao"|"17"|"17"|"XW-TDE"|"Savannakhet - Vientiane"|"Shot down while en route. Aircraft not found."|"13:20"|"23"
"Beechcraft D 18S"|"?"|"1"|"1"|"February 16, 1972"|"?"|"0"|"Jackson, Mississippi"|"Hankins Airways - Air Taxi"|"1"|"1"|"N80398"|"Chicago, IL - Detroit, MI"|"The aircraft failed to maintain flying speed after a engine failure for undetermined reasons. Ice seen on aircraft before and after the accident."|"02:55"|"2"
"Lockheed C-130E Hercules"|"3775"|"7"|"5"|"February 19, 1972"|"?"|"0"|"Little Rock, Arkansas"|"Military - U.S. Air Force"|"0"|"0"|"62-1813"|"?"|"Midair collision with a T-37 trainer while on approach to Little Rock. Both pilots on the trainer ejected safely."|"?"|"7"
"Beechcraft 65-B80"|"?"|"1"|"1"|"February 20, 1972"|"?"|"0"|"Fairfield, Idaho"|"Sun Valley Airways - Air Taxi"|"3"|"3"|"N1027C"|"Hailey, ID - Boise, ID"|"In-flight fire caused in-flight structural failure. Left wing separated due to fire resulting from engine cylinder separation. Excessive working hours may have contributed to the accident."|"10:32"|"4"
"Beechcraft D 18S"|"?"|"1"|"1"|"February 22, 1972"|"?"|"0"|"Molokai, Hawaii"|"Alii Air Hawaii - Air Taxi"|"7"|"7"|"N5642V"|"Honolulu, HI - Lanai, HI"|"Flew into thunderstorm activity and crashed into ocean for reasons unknown. Continued VFR flight into adverse weather conditions."|"07:05"|"8"
"Fairchild-Hiller FH-227-B"|"541"|"3"|"2"|"March 03, 1972"|"405"|"1"|"Albany, New York"|"Mohawk Airlines"|"45"|"14"|"N7818M"|"New York City - Albany, NY"|"The aircraft was on final approach to Albany County Airport in light snow and two miles visibility, when the pilot reported a malfunctioning left propeller cruise pitch lock. The captain ordered the engine shut down but the crew was unsuccessful in feathering the prop and the plane began to lose altitude. The plane crashed 4 miles short of the runway into a two-family house killing one man. Malfunction of the cruise pitch lock.  Inability of the crew to feather the left propeller, in combination with the descent below the minimum approach altitude. The reason for the malfunction and inability to feather the prop remains undetermined."|"20:48"|"48"
"Boeing KC-135A"|"17793/263"|"5"|"5"|"March 13, 1972"|"?"|"0"|"Fort Worth, Texas"|"Military - U.S. Air Force"|"0"|"0"|"58-0048"|"?"|"While attempting to land the right wing struck the ground, the plane crashed and burned."|"?"|"5"
"Aerospatiale Caravelle Super 10B"|"267"|"6"|"6"|"March 14, 1972"|"296"|"0"|"Near Al Fujayrah, United Arab Emirates"|"Sterling Airways"|"106"|"106"|"OY-STL"|"Colombo - Dubai"|"The aircraft struck a mountain ridge during approach, 50 miles E of Dubai. Incorrect information from an outdated flight plan."|"22:00"|"112"
"McDonnell Douglas DC-9-32"|"47503/587"|"9"|"9"|"March 19, 1972"|"763"|"0"|"Shamsam Mountains, South Yemen"|"Egyptair"|"13"|"13"|"YU-AHR"|"Cairo - Aden"|"The aircraft crashed into Shamsam Mountain and exploded, during a visual approach, 4 miles SW of the airport."|"?"|"22"
"Lockheed AC-130A Hercules"|"3071"|"14"|"14"|"March 28, 1972"|"?"|"0"|"Near Tchepone, Laos"|"Military - U.S. Air Force"|"0"|"0"|"55-0044"|"?"|"Struck by a surface-to-air missile."|"?"|"14"
"Curtiss C-46F"|"22577"|"2"|"2"|"April 06, 1972"|"?"|"0"|"Near San Fernando, Venezuela"|"AVENSA"|"0"|"0"|"YV-C-EVF"|"?"|"The cargo plane crashed."|"?"|"2"
"NAMC YS-11A-211"|"2059"|"4"|"4"|"April 12, 1972"|"?"|"0"|" Near Rio de Janeiro, Brazil"|"VASP"|"21"|"21"|"PP-SMI"|"Sao Paulo - Rio de Janeiro"|"Crashed in mountainous terrain,  50 miles north of Rio de Janeiro, while on approach."|"21:26"|"25"
"Fokker F-27 Friendship 200"|"10251"|"3"|"3"|"April 16, 1972"|"?"|"0"|"Near Ardinello di Amaseno, Italy"|"Aero Transporti Italiani"|"15"|"15"|"I-ATIP"|"Rome - Foggia"|"Crashed into high ground while en route in thunderstorm activity. Loss of control due to downdrafts and updrafts in thunderstorm activity."|"22:10"|"18"
"Bell 47J-2"|"?"|"1"|"1"|"April 17, 1972"|"?"|"0"|"New York, New York"|"Helaire Helicopter"|"2"|"2"|"N8467E"|"Sightseeing"|"Float equipped sightseeing helicopter encountered turbulence which led to the blades flapping and a steep nose down crash into the river."|" 17:18"|"3"
"BAC Super VC-10 1154"|"881"|"11"|"8"|"April 18, 1972"|"720"|"0"|"Addis Ababa, Ethiopia"|"East African Airways"|"96"|"35"|"5X-UVA"|"Addis Ababa - Rome"|"The aircraft broke-up after overrunning the runway and an aborted takeoff. Partial loss of braking power due to the incorrect reassembly and repairs of the braking system."|"09:39"|"107"
"Douglas C-47D"|"17102/34369"|"4"|"4"|"April 20, 1972"|"?"|"0"|"Near Moyobamba, Peru"|"SATCO"|"2"|"2"|"OB-R-653"|"?"|"The cargo plane struck a mountain in poor weather conditions. The pilot elected to use a cruising altitude lower than stipulated in order to save time and continue flying in VFR conditions."|"?"|"6"
"Pilatus PC6CH2"|"?"|"1"|"0"|"April 24, 1972"|"?"|"0"|"Nyot Mo, Laos"|"Air America"|"9"|"4"|"N391R"|"Long Tieng, Laos - Moung Cha, Laos"|"Hit trees while flying through a mountain pass in rain and fog."|"12:23"|"10"
"Lockheed C-130E Hercules"|"3992"|"6"|"6"|"April 26, 1972"|"?"|"0"|"Near An Loc, Vietnam"|"Military - U.S. Air Force"|"0"|"0"|"64-0508"|"?"|"Shot down by enemy fire."|"?"|"6"
"Yakovlev YAK-40"|"9040314"|"?"|"?"|"May 04, 1972"|"608"|"0"|"Bratsk, USSR"|"Aeroflot"|"?"|"?"|"CCCP-87778"|"	Irkutsk - 	Bratsk"|"Crashed on approach. The plane entered an area of severe wind. Windshear. ATC error. Current weather was not passed on to the plane."|"23:34"|"18"
"McDonnell Douglas DC-8-43"|"45625/150"|"7"|"7"|"May 05, 1972"|"112"|"0"|"Near Carini, Sicily, Italy"|"Alitalia"|"108"|"108"|"I-DIWB"|"Rome - Palermo"|"The plane cashed into Mt. Lunga during an approach to Palermo. The crew's non-adherence to airport traffic regulations. The aircraft was named Antonio Pigafetta."|"22:24"|"115"
"Douglas C-47B"|"26613"|"2"|"2"|"May 08, 1972"|"?"|"0"|" Venezuela"|"Aerotechnia"|"5"|"5"|"YV-C-GAI"|"Ciudad - La Centella"|"Struck a mountain while en route."|"?"|"7"
"Boeing Vertol CH47A (helicopter)"|"?"|"2"|"2"|"May 10, 1972"|"?"|"0"|"Near Gia Dinh, South Vietnam"|"Military - U.S. Army"|"32"|"32"|"?"|"Bien Hoa - Vung Tau"|"Metal fatigue of the spar in a blade led to separation of the blade and loss of control of the aircraft."|"10:25"|"34"
"Antonov An-26"|"?"|"9"|"9"|"May 16, 1972"|"?"|"25"|"Svetlogorsk, Russia"|"Military - Russian Navy"|"0"|"0"|"?"|"Kaliningrad - Kaliningrad"|"The military plane was returning after a flight over the Baltic Sea for weather research. The crew didn’t set the barometric altimeter the airfield, so the altimeter indicated a height higher than the actual altitude. After crossing the shoreline it entered a patch of thick fog. The crew couldn’t see the ground and descended to a dangerously low altitude. The aircraft crashed onto a kindergarten, killing 23 children and two adults. The altimeter from an Il-14 was mistakenly installed in the AN-24."|"?"|"9"
"Antonov AN-10A"|"	 0402502"|"7"|"7"|"May 18, 1972"|"1491"|"0"|"Near Kharkov, Ukraine, USSR"|"Aeroflot"|"115"|"115"|"CCCP-11215"|"Moscow - :	Kharkov"|"Structural failure and separation of both wings due to a fatigue crack in the center wing section."|"11:53"|"122"
"Beechcraft 65-B80"|"?"|"1"|"1"|"May 19, 1972"|"?"|"0"|"Albuquerque, New Mexico"|"Ross Aviation - Air Taxi"|"8"|"8"|"N841NS"|"Albuquerque, NM - Sante Fe, NM"|"Forward cargo door was not secured, opened in flight. Cargo damaged left propeller. Open door created extra drag. Pilot lost control and crashed."|"12:29"|"9"
"Fokker F-27 Friendship 200"|"10439"|"6"|"5"|"May 21, 1972"|"?"|"0"|"Lobito, Angola"|"DTA Angola Airlines"|"19"|"17"|"CR-LLD"|"Luanda - Lobito - Sa Da Bandeira"|"Overshot the runway in heavy fog and crashed into the ocean while landing."|"?"|"25"
"de Havilland Canada DHC-6 Twin Otter"|"31"|"3"|"2"|"May 27, 1972"|"?"|"0"|"Near Helgoland, Germany"|"General Air"|"10"|"6"|"D-IDHC"|"?"|"Crashed after taking off this North sea island for another island."|"?"|"13"
"Bell 205A"|"?"|"1"|"1"|"May 29, 1972"|"?"|"0"|"Dulac, Louisiana"|"Petrolium Helicopter"|"10"|"10"|"N2256W"|"Dulac, LA - Gulf oil platform"|"Crashed into the water after the fatigue failure of both tail rotor blade grips."|"06:04"|"11"
